senti_words,score
(-;,1.0
(;_;),-1.0
(^^),1.0
(^-^),1.0
(^^*,1.0
(^_^),1.0
(^_^;,-1.0
(^o^),1.0
(-_-),-1.0
(T_T),-1.0
(ㅡㅡ),-1.0
)-:,-1.0
*^^*,1.0
:(,1.0
:'-(,1.0
:-(,1.0
:),-1.0
:-),1.0
:/,-1.0
:|,1.0
:D,-1.0
:-D,-1.0
:p,0.0
:-P,-1.0
;,1.0
;),1.0
;-),1.0
;ㅅ;,-1.0
^///^,1.0
^^,1.0
^^//,1.0
^-^;,-1.0
^-^;;,-1.0
^-^;;;;;,-1.0
-_-^,-1.0
<3,1.0
=),1.0
8-),0.0
B-),0.0
XD,1.0
ㄱㅅ,1.0
ㄱㅇㄷ,1.0
가격이 싸다,1.0
가까스로,0.0
가까이 사귀어,1.0
가까이하다,1.0
가꾸러뜨리다,-1.0
가꾸러트리다,-1.0
가난,-2.0
가난뱅이,-2.0
가난살이,-2.0
가난살이하다,-2.0
가난설음,-2.0
가난에,-2.0
가난에 쪼들려서,-2.0
가난하게,-2.0
가난하고,-2.0
가난하고 어렵다,-2.0
가난하고 천한,-2.0
가난하다,-2.0
가난하여,-2.0
가난한,-2.0
가난한 데다가,-2.0
가난한 사람을,-2.0
가난히,-2.0
가년스럽다,-2.0
가념하다,-1.0
가녕스럽다,-2.0
가누기 어려워하다,-1.0
가누지 못하고,-2.0
가누지 못하다,-2.0
가누지 못할,-2.0
가누지 못할 정도로,-2.0
가누지 못함,-2.0
가눌 수 없게,-2.0
가눌 수 없을,-2.0
가눌 수 없이,-2.0
가능성이 늘어나다,2.0
가능성이 있다고,2.0
가능하다,2.0
가닐가닐하다,-1.0
가다듬어,1.0
가다듬어 수습하는,1.0
가다듬어 수습하다,1.0
가다듬어 정하다,1.0
가당찮다,-2.0
가당찮이,-2.0
가당히,1.0
가두거나,-1.0
가두거나 해치거나,-2.0
가드올려,-1.0
가뜬하게,1.0
가라앉다,0.0
가라앉지 않은,0.0
가라앉혀 바로잡다,1.0
가래,-1.0
가래 따위가,-1.0
가래가,-1.0
가래가 섞인,-1.0
가량맞고,-1.0
가량맞고 야살스러운,-1.0
가량맞고 야살스러움,-1.0
가려서 좋아하다,-1.0
가려운,-1.0
가려운 느낌이,-1.0
가려운 증상을,-1.0
가련하게,-1.0
가련하게 여기다,-1.0
가련하게 여김,-1.0
가련한,-1.0
가련한 듯하다,-1.0
가렵고,-1.0
가로막아서,-1.0
가로채서,-1.0
가로채어,-1.0
가르치며,1.0
가르침,1.0
가르침을 받아,0.0
가리지 못하다,-1.0
가리지 않고,0.0
가마득하다,-1.0
가만있지 못하고,-1.0
가망 없는,-1.0
가망이 없게,-2.0
가벼운 마음으로,1.0
가벼운 말이나,-1.0
가벼운 상처,-1.0
가벼운 슬픔,-1.0
가벼운 행동으로,-1.0
가볍게,-1.0
가볍게 까부는,-1.0
가볍게 까불다,-1.0
가볍게 쑤시듯,-1.0
가볍게 웃다,1.0
가볍게 채신없이,-1.0
가볍게 행동하거나,-1.0
가볍게 행동하는,-1.0
가볍게 행동하다,-1.0
가볍고,1.0
가볍고 보드랍게,1.0
가볍고 상쾌하다,2.0
가볍고 상쾌한,2.0
가볍고 시원하게,2.0
가볍고 편안하게,2.0
가볍고 환하게,2.0
가분가분,1.0
가분히,1.0
가뿐가뿐,1.0
가뿐가뿐하다,1.0
가뿐가뿐히,1.0
가뿐하게,1.0
가뿐하다,1.0
가뿐한,1.0
가뿐한 느낌,1.0
가뿐한 느낌이,1.0
가뿐히,1.0
가쁘게,-1.0
가쁘게 쉬다,-1.0
가쁘고,-1.0
가쁘고 거칠게,-1.0
가쁘고 급하게,-1.0
가쁜,-1.0
가쁜 증상,-1.0
가살스럽다,-1.0
가소롭게,-1.0
가소롭다,-1.0
가스 중독이나,-1.0
가슴 아파하다,-2.0
가슴 아파함,-2.0
가슴 아프게,-2.0
가슴 아프고,-2.0
